loan_amount,payments_term,monthly_payment,grade,working_years,home,annual_income,verification,purpose,debt_to_income,delinquency,inquiries,open_credit_lines,derogatory_records,revolving_balance,revolving_rate,total_accounts,bankruptcies,fico_average,loan_risk
7000,60 months,148.7,2,10,Mortgage,69600,Not Verified,car,4.6,0,0,11,0,11250,33.4,37,0,737,Fully Paid
10000,36 months,310.1,1,10,Mortgage,80000,Not Verified,debt_consolidation,7.09,0,2,7,0,25945,57.7,18,0,742,Fully Paid
14400,36 months,436.71,1,0,Mortgage,145000,Source Verified,other,7.69,0,0,9,0,4500,9.4,21,0,782,Fully Paid
14000,36 months,435.43,1,7,Own,33000,Not Verified,debt_consolidation,14.95,0,0,6,0,6768,46,28,0,737,Fully Paid
14800,36 months,515.27,4,8,Mortgage,60000,Verified,debt_consolidation,15.5,1,1,12,0,7237,45,24,0,672,Charged Off
17500,36 months,330.44,1,10,Rent,60000,Not Verified,small_business,10.74,0,0,13,0,8766,19.2,46,0,737,Fully Paid
8000,36 months,250.25,1,7,Rent,54000,Verified,other,16.47,0,1,11,0,3902,30.6,23,0,727,Fully Paid
27575,60 months,432.77,4,7,Own,46400,Verified,debt_consolidation,22.34,0,0,12,0,12130,31.1,35,0,737,Fully Paid
5000,36 months,168.86,3,6,Mortgage,150000,Not Verified,small_business,10.98,0,1,15,0,75454,72.4,24,0,692,Fully Paid
15000,36 months,483.16,2,9,Rent,34000,Not Verified,other,16.41,0,0,6,0,6919,26.5,14,0,762,Fully Paid
5000,60 months,110.87,2,10,Mortgage,87000,Not Verified,car,5.61,0,0,3,0,88150,41.1,7,0,757,Fully Paid
18000,36 months,596.96,2,9,Mortgage,72000,Verified,debt_consolidation,22.3,0,2,16,0,23518,32.9,34,0,747,Fully Paid
9500,36 months,312.21,2,3,Rent,72000,Source Verified,car,3.73,0,7,5,0,700,14.6,25,0,747,Fully Paid
12000,36 months,391.45,2,3,Rent,33000,Not Verified,debt_consolidation,20.25,0,0,14,0,12373,36.2,17,0,722,Fully Paid
8000,36 months,279.76,4,2,Rent,195700,Source Verified,small_business,6.87,1,0,3,0,11077,82.7,15,0,682,Fully Paid
7750,36 months,236.37,1,5,Mortgage,55000,Not Verified,debt_consolidation,22.1,0,1,11,0,14324,40.8,29,0,742,Fully Paid
5000,36 months,163.57,2,10,Mortgage,109500,Not Verified,wedding,15.75,0,2,10,0,34267,67.5,31,0,717,Fully Paid
4000,36 months,124.44,1,2,Own,26400,Not Verified,other,16.5,0,0,7,0,3053,13.5,7,0,737,Fully Paid
7775,36 months,236.5,1,0,Mortgage,42000,Source Verified,debt_consolidation,4.43,0,0,11,0,3373,19.5,23,0,742,Fully Paid
7000,36 months,217.72,1,4,Own,75360,Not Verified,major_purchase,7.26,0,0,14,0,353,1,34,0,752,Fully Paid
25000,36 months,870.39,4,10,Mortgage,60000,Verified,debt_consolidation,22.38,0,0,11,0,42430,81.8,24,0,697,Fully Paid
6000,36 months,194.31,2,2,Rent,62000,Not Verified,credit_card,24.33,1,0,20,0,9949,38,27,0,707,Fully Paid
7000,36 months,225.58,2,6,Rent,96000,Verified,wedding,17.07,0,0,4,0,49855,93.4,20,0,727,Fully Paid
12000,36 months,407.87,3,2,Rent,80000,Source Verified,home_improvement,6.63,0,3,5,0,20997,67.7,5,0,697,Fully Paid
19750,36 months,735.06,7,2,Mortgage,600000,Not Verified,small_business,14.39,0,6,8,0,952013,99,18,0,672,Charged Off
1600,36 months,51.62,2,0,Own,48000,Verified,debt_consolidation,1.63,1,0,8,0,345,57.5,11,0,697,Fully Paid
14000,36 months,456.03,2,2,Mortgage,85000,Source Verified,debt_consolidation,17.39,0,2,6,0,11483,82,15,0,722,Fully Paid
8000,36 months,261.88,2,3,Mortgage,54000,Not Verified,major_purchase,7.24,0,1,7,0,746,3.7,21,0,717,Fully Paid
14400,36 months,495.95,4,1,Mortgage,126132,Verified,small_business,23.52,0,2,12,0,59154,81.9,39,0,677,Fully Paid
25000,36 months,870.07,4,8,Mortgage,174996,Verified,small_business,4.16,0,1,24,1,7458,13.7,50,1,732,Fully Paid
8000,36 months,263.78,2,10,Mortgage,72000,Not Verified,credit_card,20.25,0,0,9,0,50754,86.7,22,0,707,Fully Paid
18000,36 months,340.97,1,0,Mortgage,95000,Verified,credit_card,21.32,0,1,12,0,36780,39.9,30,0,752,Fully Paid
12400,36 months,407.51,2,0,Rent,44196,Source Verified,debt_consolidation,7.96,0,0,9,0,12656,71.9,34,0,722,Fully Paid
15000,36 months,493.67,2,10,Mortgage,72000,Not Verified,small_business,17.82,0,1,10,0,21367,77.1,34,0,712,Charged Off
15000,36 months,476.3,1,3,Mortgage,50000,Verified,debt_consolidation,19.1,0,2,7,0,16329,53.9,17,0,737,Fully Paid
4000,36 months,123.76,1,10,Mortgage,40000,Not Verified,major_purchase,18.33,0,0,11,0,982,1.8,43,0,797,Fully Paid
7000,36 months,217.72,1,7,Rent,52249.92,Source Verified,wedding,15.07,0,0,7,0,6240,39.5,13,0,732,Fully Paid
12000,60 months,299.98,4,10,Mortgage,100000,Source Verified,car,12.46,2,2,9,0,2212,17.8,28,0,682,Fully Paid
16000,60 months,282.45,2,1,Rent,65000,Not Verified,debt_consolidation,14.82,0,0,8,0,39437,77.2,41,0,732,Fully Paid
28000,60 months,730.82,5,5,Rent,58000,Verified,credit_card,12.1,0,0,7,0,13000,65.7,11,0,697,Fully Paid
3625,36 months,111.8,1,6,Mortgage,32400,Not Verified,credit_card,29.19,0,1,18,0,8067,19.6,40,0,747,Fully Paid
16000,60 months,389.01,4,3,Rent,37000,Not Verified,debt_consolidation,13.3,0,0,7,0,6189,69.5,37,0,712,Fully Paid
10000,36 months,304.36,1,1,Rent,121200,Verified,debt_consolidation,15.64,0,0,8,0,7684,30.5,22,0,787,Fully Paid
6500,36 months,202.17,1,10,Own,57600,Not Verified,major_purchase,11.9,0,0,10,0,12097,50.6,25,0,722,Fully Paid
5000,36 months,167.06,3,5,Mortgage,88000,Not Verified,credit_card,23.88,0,1,17,1,40726,83,35,1,677,Charged Off
15000,60 months,329.82,2,2,Mortgage,100000,Verified,debt_consolidation,20.68,0,0,11,0,14671,25.3,22,0,732,Fully Paid
